provider_id,hospital_name,address,city,state,zip_code,county_name,phone_number,hospital_type,hospital_ownership,emergency_services
10000,Hospital General Medical Center,3135 Lake Dr,Chicago,FL,30459,County D,6093014742,Psychiatric,Non-Profit,
10001,Hospital Community Hospital,9202 Park Ave,Dallas,FL,70461,County E,3352970607,Acute Care,Church,False
10002,Hospital Memorial Hospital,9133 Oak Rd,Philadelphia,TX,57663,County B,6130329672,Critical Access,Tribal,
10003,Hospital General Care Center,8476 Lake Dr,Boston,AZ,59916,County B,9571230009,Critical Access,Proprietary,True
10004,Hospital General Care Center,6347 Lake Dr,Miami,GA,58675,County E,7347772187,Rehabilitation,Non-Profit,True
10005,Hospital Unity Medical Center,2826 Elm St,Boston,IL,68011,County A,3220985157,Acute Care,Tribal,False
10006,Hospital St. Mary Medical Center,9099 Cedar Lane,Chicago,CA,23199,County C,8787189238,Critical Access,Government,
10007,Hospital Memorial Hospital,8553 Main St,Dallas,CA,20435,County D,8439797587,Psychiatric,Government,False
10008,Hospital Mercy Care Center,7933 Main St,Houston,WA,91344,County E,7808749452,Psychiatric,Proprietary,True
10009,Hospital St. Mary Care Center,4592 Oak Rd,Phoenix,NY,89546,County E,9482899909,Critical Access,Non-Profit,True
10010,Hospital Memorial Care Center,3905 River Rd,Miami,PA,56102,County C,3827216338,Rehabilitation,Church,True
10011,Hospital Unity Hospital,7581 Lake Dr,Dallas,WA,80535,County B,9445247069,Rehabilitation,Non-Profit,
10012,Hospital Grace Care Center,1395 River Rd,Phoenix,MA,69999,County E,2538103727,Acute Care,Church,True
10013,Hospital Community Medical Center,9583 Lake Dr,Atlanta,FL,97506,County E,5416166783,Acute Care,Proprietary,True
10014,Hospital Regional Clinic,1259 Park Ave,Miami,FL,87700,County D,3626580853,Acute Care,Non-Profit,True
10015,Hospital Central Health System,7085 Oak Rd,Miami,NY,16202,County E,7196698011,Long Term Care,Church,True
10016,Hospital Regional Hospital,1425 Lake Dr,Atlanta,WA,20721,County E,9962264516,Psychiatric,Proprietary,False
10017,Hospital Central Medical Center,5322 Lake Dr,Philadelphia,GA,36722,County A,8210853151,Psychiatric,Government,True
10018,Hospital General Clinic,5219 Elm St,Houston,WA,35769,County E,7853290204,Critical Access,Non-Profit,True
10019,Hospital General Health System,1034 River Rd,Dallas,CA,92809,County A,7845053602,Acute Care,Government,
10020,Hospital Central Care Center,212 Elm St,Dallas,GA,55792,County E,2595253846,Rehabilitation,Government,
10021,Hospital Community Medical Center,154 Elm St,Phoenix,GA,93686,County C,9457504401,Critical Access,Church,
10022,Hospital Grace Care Center,7955 River Rd,Dallas,GA,17294,County C,8582082572,Rehabilitation,Government,False
10023,Hospital General Clinic,200 Hill Blvd,Chicago,IL,62504,County D,9118916625,Acute Care,Non-Profit,
10024,Hospital General Care Center,9378 Hill Blvd,Houston,PA,71500,County B,5167159198,Critical Access,Proprietary,True
10025,Hospital Community Care Center,9567 Cedar Lane,Atlanta,CA,76017,County A,8363498377,Critical Access,Non-Profit,False
10026,Hospital Central Care Center,3341 River Rd,Boston,GA,62068,County A,3077259560,Psychiatric,Government,True
