location_id,provider_id,hospital_name,city,state,latitude,longitude,beds,trauma_level,total_staff,website
0,10000,Hospital General Medical Center,Chicago,FL,41.974189,-91.277064,434.0,Level 1,523.0,
1,10001,Hospital Community Hospital,Dallas,FL,30.905806,-117.210541,368.0,Level 3,861.0,www.hospital1.com
2,10002,Hospital Memorial Hospital,Philadelphia,TX,40.293731,-77.871892,149.0,Level 2,895.0,
3,10003,Hospital General Care Center,Boston,AZ,31.636245,-101.463374,121.0,Level 2,480.0,www.hospital3.com
4,10004,Hospital General Care Center,Miami,GA,34.345317,-80.893622,145.0,Level 2,1486.0,
5,10005,Hospital Unity Medical Center,Boston,IL,31.960619,-95.709287,228.0,Level 1,,www.hospital5.com
6,10006,Hospital St. Mary Medical Center,Chicago,CA,33.932884,-106.173845,130.0,Level 2,1884.0,www.hospital6.com
7,10007,Hospital Memorial Hospital,Dallas,CA,40.732367,-90.283866,304.0,Level 3,1332.0,www.hospital7.com
8,10008,Hospital Mercy Care Center,Houston,WA,32.817401,-86.709096,284.0,Level 2,1069.0,www.hospital8.com
9,10009,Hospital St. Mary Care Center,Phoenix,NY,39.596194,-102.515126,50.0,Level 1,262.0,www.hospital9.com
10,10010,Hospital Memorial Care Center,Miami,PA,36.004422,-92.004339,231.0,Level 3,338.0,www.hospital10.com
11,10011,Hospital Unity Hospital,Dallas,WA,31.152958,-76.665988,62.0,Level 1,1783.0,www.hospital11.com
12,10012,Hospital Grace Care Center,Phoenix,MA,31.961259,-96.165456,135.0,Level 1,1926.0,www.hospital12.com
13,10013,Hospital Community Medical Center,Atlanta,FL,33.95685,-109.689026,346.0,Level 2,924.0,
14,10014,Hospital Regional Clinic,Miami,FL,43.646267,-102.97957,45.0,Level 3,313.0,www.hospital14.com
15,10015,Hospital Central Health System,Miami,NY,37.852259,-106.280178,93.0,Level 3,,
16,10016,Hospital Regional Hospital,Atlanta,WA,41.036049,-115.664814,92.0,Level 2,230.0,
17,10017,Hospital Central Medical Center,Philadelphia,GA,44.502253,-75.287625,,,1892.0,www.hospital17.com
18,10018,Hospital General Clinic,Houston,WA,39.845943,-98.027662,116.0,Level 1,1277.0,www.hospital18.com
19,10019,Hospital General Health System,Dallas,CA,36.117067,-77.028303,307.0,Level 3,1491.0,www.hospital19.com
20,10020,Hospital Central Care Center,Dallas,GA,31.266217,-99.886412,178.0,Level 1,,www.hospital20.com
21,10021,Hospital Community Medical Center,Phoenix,GA,42.560494,-106.319694,231.0,Level 2,1560.0,www.hospital21.com
22,10022,Hospital Grace Care Center,Dallas,GA,31.793493,-87.477816,373.0,,1875.0,
23,10023,Hospital General Clinic,Chicago,IL,39.486422,-114.934192,183.0,Level 1,1970.0,www.hospital23.com
24,10024,Hospital General Care Center,Houston,PA,36.774694,-80.641184,,Level 3,241.0,www.hospital24.com
25,10025,Hospital Community Care Center,Atlanta,CA,43.314323,-88.010013,271.0,,1974.0,www.hospital25.com
26,10026,Hospital Central Care Center,Boston,GA,30.787328,-102.129441,112.0,Level 3,226.0,www.hospital26.com
27,10027,Hospital Memorial Medical Center,Philadelphia,MA,30.101935,-93.41204,470.0,,876.0,www.hospital27.com
28,10028,Hospital St. Mary Hospital,Phoenix,PA,34.328227,-83.755914,385.0,,856.0,www.hospital28.com
29,10029,Hospital Community Medical Center,Houston,WA,33.689913,-119.712108,176.0,,1969.0,
30,10030,Hospital Memorial Medical Center,Houston,MA,38.187397,-104.584856,175.0,Level 1,1199.0,www.hospital30.com
31,10031,Hospital Unity Health System,Phoenix,FL,34.486296,-116.498606,359.0,,,www.hospital31.com
32,10032,Hospital Grace Health System,Miami,CA,32.752055,-108.801433,386.0,Level 1,558.0,www.hospital32.com
33,10033,Hospital Regional Health System,Boston,AZ,40.972539,-79.139763,190.0,,1007.0,www.hospital33.com
34,10034,Hospital Central Hospital,Houston,MA,32.189326,-86.939964,77.0,Level 3,495.0,www.hospital34.com
35,10035,Hospital Community Medical Center,Boston,WA,39.887508,-104.654962,176.0,,1354.0,www.hospital35.com
36,10036,Hospital Hope Hospital,Miami,MA,30.057697,-86.04758,,Level 3,278.0,
37,10037,Hospital Mercy Hospital,Boston,PA,41.908088,-113.056543,157.0,Level 3,,www.hospital37.com
38,10038,Hospital Regional Clinic,Dallas,GA,44.886339,-110.718236,148.0,,386.0,www.hospital38.com
39,10039,Hospital Unity Health System,Los Angeles,AZ,37.17616,-96.923549,48.0,Level 1,1029.0,www.hospital39.com
40,10040,Hospital Mercy Hospital,Miami,TX,35.37516,-96.646529,352.0,Level 3,,www.hospital40.com
41,10041,Hospital Central Medical Center,Philadelphia,WA,31.978433,-113.148862,359.0,,967.0,
42,10042,Hospital Memorial Medical Center,Chicago,IL,35.354508,-86.591051,484.0,Level 3,343.0,www.hospital42.com
43,10043,Hospital Central Clinic,Dallas,WA,32.501049,-112.779173,467.0,Level 1,1510.0,www.hospital43.com
44,10044,Hospital Community Medical Center,Boston,TX,39.905691,-116.078824,428.0,,536.0,www.hospital44.com
45,10045,Hospital Memorial Care Center,Dallas,MA,31.107831,-90.258709,162.0,Level 2,,www.hospital45.com
46,10046,Hospital Central Hospital,Miami,MA,35.938526,-89.161591,184.0,Level 3,1254.0,www.hospital46.com
47,10047,Hospital Grace Clinic,Seattle,IL,44.645926,-106.140295,330.0,Level 1,601.0,www.hospital47.com
48,10048,Hospital Grace Hospital,Atlanta,FL,36.651488,-118.532378,393.0,Level 2,1530.0,www.hospital48.com
49,10049,Hospital Community Hospital,Atlanta,FL,40.655907,-89.45219,414.0,,281.0,www.hospital49.com
50,10050,Hospital Memorial Care Center,Houston,WA,38.529752,-103.316598,469.0,Level 3,979.0,www.hospital50.com
51,10051,Hospital Mercy Health System,Los Angeles,IL,38.972032,-84.797876,125.0,,1242.0,www.hospital51.com
52,10052,Hospital Hope Clinic,Chicago,WA,38.308706,-98.717067,380.0,Level 1,1952.0,www.hospital52.com
53,10053,Hospital Hope Clinic,Dallas,NY,36.265796,-112.487775,496.0,Level 1,1105.0,www.hospital53.com
54,10054,Hospital Central Hospital,Miami,TX,35.924425,-108.223606,306.0,Level 3,,
55,10055,Hospital Regional Care Center,Boston,TX,32.356267,-109.181159,242.0,,424.0,www.hospital55.com
56,10056,Hospital Grace Medical Center,Boston,GA,40.872178,-75.513586,238.0,Level 3,1857.0,
57,10057,Hospital St. Mary Medical Center,Phoenix,GA,40.975103,-100.222014,35.0,Level 1,712.0,www.hospital57.com
58,10058,Hospital Regional Hospital,Miami,TX,30.375452,-82.490918,146.0,Level 1,1911.0,www.hospital58.com
59,10059,Hospital Unity Care Center,Philadelphia,MA,31.976739,-112.009246,155.0,Level 1,96.0,www.hospital59.com
60,10060,Hospital General Clinic,Chicago,PA,34.271657,-101.58339,224.0,Level 1,235.0,www.hospital60.com
61,10061,Hospital Unity Care Center,Phoenix,IL,44.790267,-78.179879,,Level 2,,www.hospital61.com
62,10062,Hospital Grace Care Center,Chicago,MA,32.521655,-93.021501,465.0,Level 3,1566.0,
63,10063,Hospital Community Care Center,Phoenix,IL,34.823395,-81.350128,76.0,,1106.0,www.hospital63.com
64,10064,Hospital St. Mary Medical Center,Philadelphia,AZ,33.137007,-84.853539,96.0,,279.0,www.hospital64.com
65,10065,Hospital Mercy Health System,Dallas,AZ,36.14236,-112.534578,266.0,Level 1,1424.0,www.hospital65.com
66,10066,Hospital Central Medical Center,Seattle,TX,36.543389,-118.860275,499.0,Level 2,,
67,10067,Hospital Community Clinic,Phoenix,NY,35.992807,-107.070255,315.0,Level 1,530.0,www.hospital67.com
68,10068,Hospital Regional Clinic,Boston,NY,33.631117,-97.074876,75.0,,352.0,www.hospital68.com
69,10069,Hospital St. Mary Health System,Boston,TX,32.058387,-84.518468,137.0,,264.0,www.hospital69.com
70,10070,Hospital Mercy Hospital,Atlanta,IL,33.436476,-92.930401,,Level 1,1122.0,www.hospital70.com
71,10071,Hospital Mercy Medical Center,Los Angeles,PA,36.33373,-79.444876,342.0,Level 2,1002.0,www.hospital71.com
72,10072,Hospital Community Care Center,Los Angeles,TX,44.729668,-112.770127,51.0,Level 3,,www.hospital72.com
73,10073,Hospital Hope Hospital,Dallas,FL,30.036049,-97.590408,142.0,Level 1,727.0,www.hospital73.com
74,10074,Hospital Regional Health System,Phoenix,CA,35.36981,-96.925299,191.0,Level 3,206.0,www.hospital74.com
75,10075,Hospital Regional Care Center,Dallas,NY,39.261092,-88.729049,169.0,Level 2,1173.0,www.hospital75.com
76,10076,Hospital Mercy Medical Center,Houston,MA,38.250294,-96.407238,39.0,Level 1,1213.0,
77,10077,Hospital Hope Health System,Philadelphia,CA,32.921482,-104.780582,374.0,,1837.0,www.hospital77.com
78,10078,Hospital Grace Medical Center,Miami,MA,32.09538,-93.406285,102.0,Level 1,1978.0,www.hospital78.com
79,10079,Hospital General Health System,Phoenix,TX,31.683843,-101.879087,293.0,Level 2,1730.0,www.hospital79.com
80,10080,Hospital Community Hospital,Atlanta,CA,44.225319,-93.662362,336.0,Level 1,476.0,www.hospital80.com
81,10081,Hospital St. Mary Hospital,Phoenix,AZ,41.526938,-107.541095,,Level 3,1007.0,
82,10082,Hospital Hope Medical Center,Dallas,CA,39.060781,-91.365609,254.0,Level 3,1001.0,
83,10083,Hospital General Clinic,Boston,AZ,34.169124,-84.730864,210.0,,1434.0,www.hospital83.com
84,10084,Hospital General Care Center,Miami,PA,41.759885,-112.020967,422.0,Level 3,1987.0,
85,10085,Hospital Regional Hospital,Houston,IL,33.73141,-108.631551,188.0,Level 2,,www.hospital85.com
86,10086,Hospital Grace Care Center,Boston,NY,44.616196,-98.806649,326.0,,105.0,www.hospital86.com
87,10087,Hospital Regional Health System,Phoenix,AZ,37.084235,-106.653339,153.0,,222.0,
88,10088,Hospital Mercy Care Center,Houston,FL,42.532244,-109.127942,441.0,Level 1,935.0,www.hospital88.com
89,10089,Hospital Unity Hospital,Houston,CA,42.04003,-96.61363,333.0,Level 3,1624.0,
90,10090,Hospital Mercy Hospital,Chicago,NY,41.381383,-86.263106,437.0,,869.0,
91,10091,Hospital Community Clinic,Los Angeles,GA,38.434132,-90.860276,425.0,Level 1,266.0,www.hospital91.com
92,10092,Hospital Central Clinic,Boston,TX,44.013941,-85.821838,493.0,Level 2,466.0,www.hospital92.com
93,10093,Hospital Mercy Clinic,Chicago,WA,34.480495,-100.791719,57.0,,,www.hospital93.com
94,10094,Hospital General Hospital,Boston,PA,30.463568,-116.93858,238.0,Level 2,1047.0,www.hospital94.com
95,10095,Hospital Memorial Medical Center,Atlanta,CA,41.44515,-114.458436,226.0,,579.0,www.hospital95.com
96,10096,Hospital Central Medical Center,Chicago,PA,37.37652,-83.6094,492.0,Level 2,1269.0,www.hospital96.com
97,10097,Hospital Hope Care Center,Phoenix,WA,38.29222,-114.547788,213.0,Level 3,1656.0,www.hospital97.com
98,10098,Hospital Memorial Care Center,Miami,GA,36.573059,-95.848956,254.0,Level 1,1556.0,www.hospital98.com
99,10099,Hospital Memorial Medical Center,Houston,AZ,33.997951,-117.995973,96.0,Level 3,1026.0,www.hospital99.com
100,10100,Hospital General Medical Center,Dallas,WA,39.378377,-78.737997,204.0,Level 1,104.0,
101,10101,Hospital Memorial Medical Center,Chicago,NY,32.190782,-94.452537,53.0,,1816.0,
102,10102,Hospital St. Mary Health System,Atlanta,WA,39.202019,-87.567886,365.0,Level 3,,www.hospital102.com
103,10103,Hospital General Care Center,Houston,TX,38.238131,-108.784392,274.0,Level 3,187.0,www.hospital103.com
104,10104,Hospital Memorial Health System,Phoenix,WA,35.420585,-114.333069,329.0,Level 2,1420.0,www.hospital104.com
105,10105,Hospital Grace Hospital,Houston,NY,34.560668,-105.069392,21.0,Level 1,331.0,www.hospital105.com
106,10106,Hospital Mercy Hospital,Miami,NY,42.079499,-84.625111,92.0,,972.0,www.hospital106.com
107,10107,Hospital Hope Care Center,Phoenix,NY,32.25067,-112.107041,403.0,Level 3,413.0,www.hospital107.com
108,10108,Hospital Grace Hospital,Atlanta,PA,38.978853,-116.731521,21.0,Level 2,1745.0,www.hospital108.com
109,10109,Hospital Grace Clinic,Dallas,AZ,35.97436,-119.015171,61.0,Level 1,309.0,www.hospital109.com
110,10110,Hospital Memorial Medical Center,Atlanta,WA,43.505752,-91.745706,136.0,Level 3,192.0,www.hospital110.com
111,10111,Hospital General Clinic,Philadelphia,IL,34.264186,-103.660324,88.0,Level 3,,www.hospital111.com
112,10112,Hospital Central Clinic,Philadelphia,CA,39.52495,-82.8767,36.0,,662.0,
113,10113,Hospital Unity Clinic,Phoenix,CA,38.055367,-87.630144,108.0,,934.0,
114,10114,Hospital St. Mary Medical Center,Los Angeles,MA,39.162183,-113.677213,32.0,,1775.0,www.hospital114.com
115,10115,Hospital St. Mary Clinic,Los Angeles,WA,33.158923,-89.076465,215.0,Level 1,1687.0,www.hospital115.com
116,10116,Hospital Central Medical Center,Miami,AZ,33.53422,-108.764707,197.0,Level 1,319.0,www.hospital116.com
117,10117,Hospital Memorial Hospital,Houston,GA,30.706042,-108.33014,291.0,Level 1,478.0,www.hospital117.com
118,10118,Hospital Memorial Care Center,Houston,NY,40.303166,-118.848401,,Level 1,1212.0,www.hospital118.com
119,10119,Hospital Grace Hospital,Seattle,PA,38.444815,-112.88493,131.0,,978.0,www.hospital119.com
120,10120,Hospital Unity Hospital,Philadelphia,TX,37.426435,-95.229625,165.0,Level 1,1335.0,www.hospital120.com
121,10121,Hospital Community Clinic,Miami,PA,37.878363,-100.793603,295.0,Level 2,1710.0,
122,10122,Hospital Memorial Medical Center,Boston,AZ,30.455702,-101.311227,263.0,Level 2,1766.0,www.hospital122.com
123,10123,Hospital Grace Care Center,Seattle,IL,38.643432,-117.571817,281.0,Level 1,1534.0,
124,10124,Hospital General Medical Center,Dallas,TX,38.081984,-77.282314,,Level 2,672.0,www.hospital124.com
125,10125,Hospital Mercy Medical Center,Phoenix,NY,30.983636,-113.4887,241.0,Level 2,1463.0,www.hospital125.com
126,10126,Hospital General Hospital,Seattle,TX,43.625175,-76.627377,168.0,,264.0,
127,10127,Hospital Regional Clinic,Atlanta,CA,37.84776,-110.014177,,Level 2,508.0,www.hospital127.com
128,10128,Hospital Grace Clinic,Chicago,CA,38.297229,-102.09417,28.0,Level 1,477.0,www.hospital128.com
129,10129,Hospital Memorial Clinic,Boston,AZ,35.434754,-76.724744,343.0,Level 2,184.0,www.hospital129.com
130,10130,Hospital St. Mary Hospital,Los Angeles,AZ,39.636667,-75.590631,99.0,Level 2,536.0,
131,10131,Hospital Unity Medical Center,Phoenix,FL,42.92572,-115.521955,285.0,Level 3,554.0,www.hospital131.com
132,10132,Hospital Unity Health System,Philadelphia,NY,34.223398,-82.473119,244.0,Level 1,,www.hospital132.com
133,10133,Hospital Grace Health System,Philadelphia,TX,30.345641,-88.134802,348.0,,,www.hospital133.com
134,10134,Hospital Unity Care Center,Dallas,GA,37.336847,-114.956295,111.0,Level 2,,www.hospital134.com
135,10135,Hospital Grace Hospital,Phoenix,PA,43.385638,-103.46947,57.0,Level 3,,www.hospital135.com
136,10136,Hospital Memorial Health System,Philadelphia,PA,35.641275,-117.837206,32.0,Level 2,187.0,
137,10137,Hospital Memorial Medical Center,Dallas,IL,31.391611,-90.785929,129.0,Level 3,1551.0,www.hospital137.com
138,10138,Hospital Hope Care Center,Boston,FL,35.707391,-99.021057,382.0,Level 2,188.0,
139,10139,Hospital St. Mary Health System,Chicago,PA,41.469607,-88.666932,342.0,Level 2,1051.0,
140,10140,Hospital St. Mary Medical Center,Dallas,IL,39.555224,-104.167797,186.0,Level 1,282.0,www.hospital140.com
141,10141,Hospital Hope Clinic,Seattle,AZ,31.387978,-113.884491,454.0,Level 1,,www.hospital141.com
142,10142,Hospital Mercy Care Center,Miami,TX,39.692025,-106.356697,162.0,Level 1,916.0,www.hospital142.com
143,10143,Hospital Regional Medical Center,Philadelphia,CA,31.500549,-81.845778,427.0,Level 1,1339.0,www.hospital143.com
144,10144,Hospital Mercy Medical Center,Boston,FL,40.14599,-113.919966,220.0,Level 3,,www.hospital144.com
145,10145,Hospital Regional Medical Center,Philadelphia,FL,43.057593,-106.450544,122.0,Level 3,,www.hospital145.com
146,10146,Hospital Hope Medical Center,Boston,WA,44.439207,-91.087913,494.0,Level 2,65.0,www.hospital146.com
147,10147,Hospital Memorial Clinic,Chicago,NY,41.604766,-112.990838,400.0,Level 3,1809.0,
148,10148,Hospital General Care Center,Miami,TX,43.719508,-86.673135,422.0,,494.0,www.hospital148.com
149,10149,Hospital Memorial Care Center,Los Angeles,TX,37.323592,-117.087934,92.0,Level 1,,
150,10150,Hospital Hope Medical Center,Atlanta,NY,31.489659,-84.270426,287.0,,1087.0,
151,10151,Hospital Hope Medical Center,Chicago,WA,38.80039,-112.995091,287.0,Level 1,,www.hospital151.com
152,10152,Hospital Unity Care Center,Seattle,PA,42.125157,-93.900303,180.0,Level 1,1292.0,
153,10153,Hospital Hope Care Center,Houston,TX,37.427263,-79.257139,157.0,,1984.0,
154,10154,Hospital Central Health System,Miami,CA,41.624161,-96.343707,42.0,Level 2,1293.0,www.hospital154.com
155,10155,Hospital Memorial Health System,Seattle,PA,35.004363,-105.262954,233.0,,,www.hospital155.com
156,10156,Hospital Memorial Health System,Boston,CA,31.0341,-93.89186,438.0,Level 1,783.0,
157,10157,Hospital Unity Hospital,Houston,FL,32.505794,-91.469753,53.0,,532.0,www.hospital157.com
158,10158,Hospital Community Clinic,Dallas,AZ,40.590987,-102.226923,346.0,Level 1,1789.0,www.hospital158.com
159,10159,Hospital Central Medical Center,Dallas,MA,39.921225,-86.958283,249.0,Level 2,417.0,
160,10160,Hospital St. Mary Clinic,Dallas,CA,36.474454,-89.805496,374.0,,1849.0,www.hospital160.com
161,10161,Hospital Hope Care Center,Miami,PA,36.717609,-102.82064,295.0,,1538.0,
162,10162,Hospital General Medical Center,Houston,IL,40.202364,-101.146118,47.0,Level 2,1097.0,www.hospital162.com
163,10163,Hospital Mercy Hospital,Philadelphia,IL,34.998669,-90.733919,354.0,,749.0,www.hospital163.com
164,10164,Hospital Mercy Health System,Seattle,TX,41.651759,-89.259834,,Level 1,,www.hospital164.com
165,10165,Hospital Regional Health System,Miami,WA,32.527929,-111.394678,99.0,Level 3,669.0,www.hospital165.com
166,10166,Hospital General Hospital,Los Angeles,IL,33.648932,-83.011623,290.0,Level 2,785.0,www.hospital166.com
167,10167,Hospital Central Health System,Chicago,IL,31.392348,-92.83953,124.0,Level 3,1657.0,www.hospital167.com
168,10168,Hospital Regional Clinic,Atlanta,CA,34.07895,-87.501231,162.0,,,www.hospital168.com
169,10169,Hospital Mercy Health System,Dallas,IL,41.473034,-106.967352,200.0,,684.0,www.hospital169.com
170,10170,Hospital Hope Care Center,Houston,PA,36.293162,-117.251381,289.0,Level 1,,
171,10171,Hospital St. Mary Care Center,Los Angeles,WA,38.792466,-88.230512,489.0,Level 3,157.0,www.hospital171.com
172,10172,Hospital Community Medical Center,Chicago,CA,35.895111,-104.24964,94.0,,1279.0,www.hospital172.com
173,10173,Hospital Regional Health System,Phoenix,MA,34.482794,-101.006215,118.0,Level 1,,www.hospital173.com
174,10174,Hospital General Medical Center,Chicago,FL,30.242882,-113.626674,305.0,Level 3,872.0,www.hospital174.com
175,10175,Hospital Mercy Hospital,Phoenix,FL,39.68054,-95.744599,46.0,,,www.hospital175.com
